,RADeg,decDeg,SNR,numSigPix,deltaT_c,fluxmJy,method,catalog_idx,snr_threshold,iter_num,idx,remeasured,component,patch_num,patch_idx
100110,25.456666666666745,5.436666666666685,26.30441674247413,8,91.9987943616706,0.3158372958943867,catalog,66548,25.0,32,94,True,radio,0,102789
66,25.012000000000093,6.248666666666688,26.275846604849168,7,117.27934128757953,0.4020435655407461,catalog,2,25.0,8,95,False,cib,0,89
67,25.34466666666676,7.026000000000024,26.22134774628761,7,118.76505484581824,0.4064945534242442,catalog,91798,25.0,8,96,False,radio,0,90
68,26.478666666666754,5.91800000000002,25.58029868177893,3,125.26181887090056,0.4296723437004894,catalog,98896,25.0,8,97,False,radio,0,91
100111,26.588666666666747,5.428666666666685,25.36421538942988,18,90.29631274815068,0.3099967175082677,catalog,31,25.0,32,98,True,cib,0,102790
69,26.354666666666745,7.088000000000024,25.25433796308996,1,108.49417142798826,0.3713218820860325,catalog,100955,25.0,8,99,False,radio,0,92
70,26.61266666666676,5.333333333333352,24.151322053721408,30,122.195888459059,0.4195770402588943,catalog,54051,20.0,9,100,False,radio,0,93
100112,25.891333333333424,5.883333333333353,24.05029688274253,65,82.4536412656287,0.2828498703926098,catalog,90,15.0,33,101,True,cib,0,102791
71,26.505333333333425,5.92000000000002,23.97038357975155,28,117.12478546262008,0.4017592748038553,catalog,1295,20.0,9,102,False,cib,0,94
72,25.420666666666737,6.574666666666689,23.96829928415806,23,108.06966970372176,0.3702352863327673,catalog,7,20.0,9,103,False,cib,0,95
101113,25.11533333333341,6.654000000000022,23.93937334880496,60,78.22282283771871,0.2679399961181671,catalog,126,15.0,46,104,True,cib,0,103799
73,26.304000000000084,6.492000000000022,22.382894180296898,14,113.08926897697556,0.3874957623207534,catalog,93917,20.0,9,105,False,radio,0,96
74,27.10600000000008,7.024666666666691,22.35913978073076,17,101.80487310587176,0.3484463012626113,map,-1,20.0,9,106,False,radio,0,97
75,25.784666666666755,6.214000000000021,21.98348989280568,16,105.88399145226344,0.363003534780055,catalog,36465,20.0,9,107,False,radio,0,99
100113,26.11266666666674,6.354666666666688,21.914068103487843,71,81.92410547092706,0.2807854578110732,catalog,3097,15.0,33,108,True,cib,0,102792
76,25.40400000000009,4.99133333333335,21.626452538961683,17,109.48142607457004,0.376122851742933,catalog,89,20.0,9,109,False,cib,0,101
77,26.97133333333344,5.998000000000021,21.33121812467548,9,107.68179663177352,0.3693155642799784,map,-1,20.0,9,110,False,radio,0,102
78,26.15466666666676,5.404000000000019,21.12743249972764,10,105.99745567460434,0.3639153793926575,catalog,10,20.0,9,111,False,cib,0,103
79,26.10866666666675,6.532000000000022,21.099819254131464,9,97.9380558981047,0.3355541960514679,catalog,14482,20.0,9,112,False,cib,0,104
80,26.83066666666675,6.9366666666666905,20.977135273159902,7,92.55200881022223,0.3168360884030001,catalog,11,20.0,9,113,False,cib,0,106
81,26.24733333333341,5.202666666666684,20.88953732730328,11,108.33146480706688,0.372049991648602,catalog,60755,20.0,9,114,False,radio,0,107
82,25.265333333333427,6.182000000000021,20.62781746644196,4,97.0293226031162,0.3326669174541799,map,-1,20.0,9,115,False,radio,0,108
83,25.50000000000009,5.88800000000002,20.51415613169464,4,92.09323462583532,0.3159149478074797,catalog,9,20.0,9,116,False,cib,0,109
100114,25.24666666666676,6.817333333333357,20.406343770547537,42,71.38935859464334,0.2444507213303779,catalog,85678,15.0,33,117,True,radio,0,102795
100115,25.42800000000008,5.106666666666684,20.392845404499603,37,72.68348622954181,0.2496593276141907,catalog,1,15.0,33,118,True,cib,0,102796
100116,25.6553333333334,5.4906666666666855,20.16029191166313,66,71.70599877316702,0.246148729784843,catalog,76469,15.0,33,119,True,radio,0,102797
100117,26.756666666666767,5.178666666666684,20.123640858629862,41,77.20367683538568,0.2651557256187344,catalog,89259,15.0,33,120,True,radio,0,102798
84,26.978000000000083,5.046000000000017,20.12343099376559,1,111.5593166545338,0.3832296585007791,map,-1,20.0,9,121,False,radio,0,111
100118,26.45666666666676,5.863333333333353,20.115090812033877,50,72.33992952820812,0.2481644866282062,catalog,109,15.0,33,122,True,cib,0,102799
100119,25.974666666666742,6.246000000000021,20.083057662370763,34,72.16646251584947,0.2473940478762398,map,-1,15.0,33,123,True,radio,0,102800
100120,25.532666666666756,6.300666666666688,20.05056818368557,42,69.3197260820489,0.2376101166760284,catalog,27,15.0,33,124,True,cib,0,102801
100121,26.063333333333407,5.174666666666684,19.914239543409472,69,74.48922232612912,0.2558345466300791,catalog,4,15.0,33,125,True,cib,0,102802
100122,26.500666666666746,5.199333333333351,19.80801733037321,43,70.24434428651985,0.2412461085368303,catalog,3,15.0,33,126,True,cib,0,102803
100123,26.120666666666747,5.592666666666686,19.357661823187428,38,67.9776619412324,0.2333100209831775,map,-1,15.0,33,127,True,radio,0,102804
100124,26.722666666666758,5.250666666666684,19.315944200317897,35,73.68387065670667,0.2530379572275818,catalog,41,15.0,33,128,True,cib,0,102805
100125,26.846000000000096,5.812666666666686,19.252084964676428,60,68.35052214713168,0.2344997560232379,catalog,2150,15.0,33,129,True,cib,0,102806
